,Isocode,Country,Year,PopMale,PopFemale,PopTotal,GrowthRate,PopDensity,GDP,CO2,TFR,LEx,LExMale,LExFemale,CO2.norm,GDP.norm,PopTotal.norm,TFR.norm,Tech
4,AFG,Afghanistan,1960,4459.543,4314.897,8774.44,2.0206,13.456,739.4106486121,0.0128783147,7.671,31.575,31.282,31.893,0.2069561586,1.2240904486,0.7479580295,0.9979185638,0.1741699929
68,AFG,Afghanistan,1961,4549.481,4404.063,8953.544,2.0806,13.731,729.926789269,0.0149661408,7.671,32.091,31.775,32.433,0.240507789,1.2083899692,0.7632253599,0.9979185638,0.20503619
164,AFG,Afghanistan,1962,4644.11,4497.673,9141.783,2.1398,14.019,726.3017158817,0.0205649161,7.671,32.608,32.267,32.974,0.3304808209,1.2023886792,0.7792713836,0.9979185638,0.283145635
233,AFG,Afghanistan,1963,4743.604,4595.903,9339.507,2.1987,14.322,723.1891250031,0.0206649023,7.671,33.124,32.76,33.513,0.3320876132,1.1972358014,0.7961259354,0.9979185638,0.2857468623
319,AFG,Afghanistan,1964,4848.166,4698.965,9547.131,2.2565,14.641,720.4839612043,0.0239862635,7.671,33.639,33.251,34.051,0.3854623105,1.1927574169,0.8138243911,0.9979185638,0.3329187714
341,AFG,Afghanistan,1965,4957.974,4807.041,9765.015,2.2791,14.975,719.5929035446,0.0281617591,7.671,34.152,33.741,34.587,0.4525630564,1.1912822756,0.8323974382,0.9979185638,0.3913568207
389,AFG,Afghanistan,1966,5071.537,4918.588,9990.125,2.2936,15.32,709.7114236813,0.0298294566,7.671,34.662,34.228,35.12,0.4793631676,1.1749235375,0.8515864499,0.9979185638,0.4203040221
509,AFG,Afghanistan,1967,5188.586,5033.316,10221.902,2.3577,15.676,711.9105741861,0.034240203,7.671,35.17,34.713,35.65,0.5502444251,1.1785642197,0.8713437755,0.9979185638,0.4809621361
514,AFG,Afghanistan,1968,5311.794,5153.976,10465.77,2.4858,16.05,719.4731305368,0.031913562,7.671,35.674,35.193,36.175,0.5128550074,1.191083992,0.8921317721,0.9979185638,0.4435685041
630,AFG,Afghanistan,1969,5444.84,5284.351,10729.191,2.6346,16.454,713.1226108949,0.0239533437,7.671,36.172,35.669,36.696,0.3849332854,1.1805707401,0.9145865216,0.9979185638,0.3358937631
